"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"4K99QNBK","webpage","","","Changer la taille de la police dans la légende (matplotlib)","","","","","http://www.science-emergence.com/Articles/Changer-la-taille-de-la-police-dans-la-l%C3%A9gende-matplotlib/","","","2017-01-20 10:01:05","2017-01-20 10:01:05","2017-01-18 17:42:33","","","","","","","","","","","","","","","","","","","","","","","/home/licencefdv/.mozilla/firefox/zp9bb5vi.default/zotero/storage/IA8UCHJB/Changer-la-taille-de-la-police-dans-la-légende-matplotlib.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UF3VS3ZW","webpage","","","Example Code | RGB LED Strips | Adafruit Learning System","","","","","https://learn.adafruit.com/rgb-led-strips/example-code","","","2017-01-20 10:01:05","2017-01-20 10:01:05","2017-01-18 16:39:21","","","","","","","","","","","","","","","","","","","","","","","/home/licencefdv/.mozilla/firefox/zp9bb5vi.default/zotero/storage/EW8E2W4H/example-code.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2JDVE8H9","webpage","","","First report on the triggering effect of light on the hatching mechanism of Artemia salina dry cysts | SpringerLink","","","","","http://link.springer.com/article/10.1007%2FBF00388912?LI=true","","","2017-01-20 10:01:05","2017-01-20 10:01:05","2017-01-19 15:37:24","","","","","","","","","","","","","","","","","","","","","","","/home/licencefdv/.mozilla/firefox/zp9bb5vi.default/zotero/storage/IE6MNX85/10.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NUZQ63AH","webpage","","Center for History and New Media","Guide rapide pour débuter","","","","","http://zotero.org/support/quick_start_guide","","","2017-01-20 10:01:05","2017-01-20 10:01:05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84ZG2FV8","webpage","","","Guide sur les artémias - aquariophilie debutant et confirme eau douce et eau de mer, poissons d'aqu","","","","","http://www.aquafolie.com/poissons-et-autres/artemia.html","","","2017-01-20 10:01:05","2017-01-20 10:01:05","2017-01-19 08:37:25","","","","","","","","","","","","","","","","","","","","","","","/home/licencefdv/.mozilla/firefox/zp9bb5vi.default/zotero/storage/PEJPHBHG/artemia.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EKKKHZF2","blogPost","","","L' alimentation des coraux | Récifal","","","","","http://recifal.fr/l-alimentation-des-coraux/","L' Alimentation des coraux Les coraux se nourrissent de différentes façons : Le microplancton de la marque Preis (microplan) à fait ses","","2017-01-20 10:01:05","2017-01-20 10:01:05","2017-01-19 08:33:32","","","","","","","","","","","","","","","","","","","","","","","/home/licencefdv/.mozilla/firefox/zp9bb5vi.default/zotero/storage/A323KBCW/l-alimentation-des-coraux.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WFZU3IR3","webpage","2016","Batteix, Fabien","Mesurer la luminosité ambiante avec une photorésistance et une carte Arduino / Genuino","!-APP.SHORT_TITLE-!","","","","https://www.carnetdumaker.net/articles/mesurer-la-luminosite-ambiante-avec-une-photoresistance-et-une-carte-arduino-genuino/","Dans ce tutoriel, nous allons apprendre ensemble à mesurer la luminosité ambiante d'une pièce au moyen d'une photorésistance et d'une carte Arduino / Genuino. Nous verrons d'abord comment fonctionne une photorésistance, puis comment l'utiliser. En bonus, nous verrons comment augmenter ou réduire la sensibilité de la photorésistance si le besoin s'en fait sentir.","2016-03-19","2017-01-20 10:01:05","2017-01-20 10:01:05","2017-01-19 16:31:04","","","","","","","","","","","","","","","","","","","","","","","/home/licencefdv/.mozilla/firefox/zp9bb5vi.default/zotero/storage/3XZEHMBN/mesurer-la-luminosite-ambiante-avec-une-photoresistance-et-une-carte-arduino-genuino.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8UERASAK","journalArticle","1984","Bradley, David J.; Forward Jr., Richard B.","Phototaxis of adult brine shrimp, Artemia salina","Canadian Journal of Zoology","","0008-4301","10.1139/z84-347","http://www.nrcresearchpress.com/doi/abs/10.1139/z84-347","Using phototaxis as a behavioral measure of light perception, spectral and intensity sensitivity were determined for adult brine shrimp, Artemia salina. Spectral sensitivity was characterized by a well-defined maximum at 520 nm light, with perhaps a smaller maximum at 400 nm light. Dark-adapted animals showed a strong negative phototaxis at high intensities between 5.0 × 1012 quanta∙m−2∙s−1 and 3.6 × 1016 quanta∙m−2∙s−1 at 520 nm light. Positive phototaxis was greatest at the low intensity of 2.8 × 1012 quanta∙m−2∙s−1. Threshold sensitivity for both positive and negative phototaxis was approximately 2 × 1012 quanta∙m−2∙s−1., La phototaxie a servi d'indicateur éthologique dans l'étude de la perception de la lumière, de la sensibilité spectrale et de la sensibilité à l'intensité lumineuse chez des adultes de l'anostracé Artemia salina. La courbe de sensibilité au spectre comporte un sommet bien défini à 520 nm et un sommet moins important à 400 nm. Les animaux acclimatés à l'obscurité manifestent une phototaxie négative très forte aux intensités lumineuses situées entre 5,0 × 1012 quanta∙m−2∙s−1 et 3,6 × 1016 quanta∙m−2∙s−1 à 520 nm. La phototaxie positive est maximale à une intensité faible de l'ordre de 2,8 × 102 quanta∙m−2∙s−1. La sensibilité seuil qui détermine la phototaxie positive et la phototaxie négative est d'environ 2 × 1012 quanta∙m−2∙s−1.[Traduit par le journal]","1984-12-01","2017-01-20 10:01:05","2017-01-20 10:01:05","2017-01-19 15:41:58","2357-2359","","12","62","","Can. J. Zool.","","","","","","","","","","","","","NRC Research Press","","","","/home/licencefdv/.mozilla/firefox/zp9bb5vi.default/zotero/storage/5G4W24BB/z84-347.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2UR2J7Q8","journalArticle","1978","Aiken, Ronald B.; Hailman, Jack P.","Positive phototaxis of the brine shrimp Artemia salina to monochromatic light","Canadian Journal of Zoology","","0008-4301","10.1139/z78-098","http://www.nrcresearchpress.com/doi/abs/10.1139/z78-098","The brine shrimp Artemia salina was photopositive in response to monochromatic light of approximately equal quantum intensity of two absolute levels. At the higher level (about 3 × 1014 quanta s−1 cm−2), the spectral response was bimodal with peaks near 560 and 700 THz frequency (about 535 and 430 nm wavelength, respectively), with an antimode at about 640 THz (465 nm). Response at the lower level (about 2 × 1014) was slightly lower and the midspectrum peak was shifted to higher frequencies (shorter wavelengths) and depressed relative to the high-frequency peak near 700 THz. The results suggest that positive phototaxis is mediated by two visual pigments, the high-frequency (short-wavelength) pigment being activated at lower illuminations than the midspectrum pigment. A similar bimodal response is known from a crab larva, but this appears to be the first anostracan crustacean to have been tested., L'anostracé Artemia salina réagit positivement en présence de deux séries de lumières monochromes d'intensités quantiques à peu prées égales : deux niveaux absolus de lumière ont été utilisés. Au niveau le plus élevé (environ 3 × 1014 quanta s−1 cm−2), la réaction spectrale est bimodale, l'un des sommets se produisant à 560 THz de fréquence, l'autre à 700 THz (les longueurs d'ondes respectives étant d'environ 535 et 430 nm); il y a un antimode à environ 640 THz (465 nm). La réaction au niveau inférieur (environ 2 × 1014) est légèrement plus faible et le sommet du milieu du spectre est déplacé vers des fréquences plus élevées (longueurs d'ondes plus courtes) et plus bas que le sommet de haute fréquence enregistré près de 700 THz. Les résultats permettent de croire que laphototaxie se fait grâce à deux pigments visuels, le pigment qui réagit à haute fréquence (ondes courtes) étant activé par des éclairements plus faibles que le pigment qui réagit à des fréquences moyennes. Une réaction biomodale semblable s...","1978-04-01","2017-01-20 10:01:05","2017-01-20 10:01:05","2017-01-19 15:43:35","708-711","","4","56","","Can. J. Zool.","","","","","","","","","","","","","NRC Research Press","","","","/home/licencefdv/.mozilla/firefox/zp9bb5vi.default/zotero/storage/2IJFVK36/z78-098.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VWBPGZRS","webpage","","","Troubleshooting - ImageJ","","","","","http://imagej.net/Troubleshooting","","","2017-01-20 12:57:08","2017-01-20 12:57:08","2017-01-20 12:57:08","","","","","","","","","","","","","","","","","","","","","","","/home/licencefdv/.mozilla/firefox/zp9bb5vi.default/zotero/storage/QKMHCUDH/Troubleshooting.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D9H5J6F6","webpage","","","12.04 - How to install ffmpeg on ubuntu? - Ask Ubuntu","","","","","http://askubuntu.com/questions/605186/how-to-install-ffmpeg-on-ubuntu","","","2017-01-20 12:57:19","2017-01-20 12:57:19","2017-01-20 12:57:19","","","","","","","12.04 - How to install ffmpeg on ubuntu?","","","","","","","","","","","","","","","","/home/licencefdv/.mozilla/firefox/zp9bb5vi.default/zotero/storage/HH8BME5Z/how-to-install-ffmpeg-on-ubuntu.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R7BQ5DKJ","webpage","","","ImageJ - Importing .avi","","","","","http://imagej.1557.x6.nabble.com/Importing-avi-td5000582.html","","","2017-01-20 12:57:32","2017-01-20 12:57:32","2017-01-20 12:57:32","","","","","","","","","","","","","","","","","","","","","","","/home/licencefdv/.mozilla/firefox/zp9bb5vi.default/zotero/storage/AJ9VVBIE/Importing-avi-td5000582.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N7RKD679","webpage","","","BayEOS-Arduino: libraries/TSL2561/examples/tsl2561/tsl2561.pde Source File","","","","","http://www.bayceer.uni-bayreuth.de/bayeos/en/sensor_net/107622/BayEOS-Arduino/tsl2561_8pde_source.html","","","2017-01-22 14:42:42","2017-01-22 14:42:42","2017-01-22 14:42:42","","","","","","","","","","","","","","","","","","","","","","","/home/licencefdv/.mozilla/firefox/zp9bb5vi.default/zotero/storage/JGNF2IEZ/tsl2561_8pde_source.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XCBBEKIU","webpage","","","Artemia salina - Wikipedia","","","","","https://en.wikipedia.org/wiki/Artemia_salina","","","2017-01-23 10:27:36","2017-01-23 10:27:36","2017-01-23 10:27:36","","","","","","","","","","","","","","","","","","","","","","","/home/licencefdv/.mozilla/firefox/zp9bb5vi.default/zotero/storage/GTBEJ56V/Artemia_salina.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
